Code,Omschrijving,Familienaam,Familie,Voorraad Begin,Commentaar,Cat. 1,Cat. 2,Cat. 3,"Prijs
Verlies of
kapot",,Invulsheet,,,,,
506,Logo projector,Klank & Licht materiaal,5,1,,- € ,- € ,- € ,100.00 € ,,Err:508,,,,,
507,Microfoon ,Klank & Licht materiaal,5,3,,- € ,- € ,- € ,50.00 € ,,Err:508,,,,,
508,XLR kabels,Klank & Licht materiaal,5,18,,- € ,- € ,- € ,10.00 € ,,Err:508,,,,,
509,Box kabels,Klank & Licht materiaal,5,10,,- € ,- € ,- € ,10.00 € ,,Err:508,,,,,
510,Box statief,Klank & Licht materiaal,5,3,,- € ,- € ,- € ,40.00 € ,,Err:508,,,,,
511,Microfoon statief,Klank & Licht materiaal,5,3,,- € ,- € ,- € ,30.00 € ,,Err:508,,,,,
512,Stroom kabel,Klank & Licht materiaal,5,12,,- € ,- € ,- € ,- € ,,Err:508,,,,,
513,Spot par,Klank & Licht materiaal,5,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
514,Lightgevende discobol,Klank & Licht materiaal,5,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
515,Topkasten (300 Watt),Klank & Licht materiaal,5,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
516,Dynamo party scan,Klank & Licht materiaal,5,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
517,CD speler,Klank & Licht materiaal,5,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
518,Dubbele CD speler,Klank & Licht materiaal,5,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
519,Quinche kabels (quinche - quinche),Klank & Licht materiaal,5,4,,- € ,- € ,- € ,- € ,,Err:508,,,,,
520,Quinche kabels (quinche - mini jack),Klank & Licht materiaal,5,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
521,Quinche kabels (quinche - xlr man),Klank & Licht materiaal,5,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
522,Quinche kabels (quinche - dub jack),Klank & Licht materiaal,5,1,,- € ,- € ,- € ,- € ,,Err:508,,,,,
523,Mini Jack nr Dubbele Jack,Klank & Licht materiaal,5,1,,,,,,,,,,,,
524,Box koppelstukken,Klank & Licht materiaal,5,2,,,,,,,,,,,,
526,Mini Spot,Klank & Licht materiaal,5,3,,,,,,,,,,,,
527,Spot par LED,Klank & Licht materiaal,5,5,,,,,,,,,,,,
528,Mini jack nr mini jack,Klank & Licht materiaal,5,3,,,,,,,,,,,,
529,Verlengkabel mini jack,Klank & Licht materiaal,5,1,,,,,,,,,,,,
530,Rookmachine,Klank & Licht materiaal,5,1,,,,,,,,,,,,
531,Vloeistof rookmachine 5L,Klank & Licht materiaal,5,1,,,,,,,,,,,,
600,Jetons,Allerlei,16,10000,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
601,Fluo-jas (Volwassen),Fluomateriaal,6,62,,- € ,- € ,- € ,- € ,,Err:508,,,,,
602,Fluo-jas (XS),Fluomateriaal,6,121,,- € ,- € ,- € ,,,Err:508,,,,,
603,Fluo-armband,Fluomateriaal,6,90,,- € ,- € ,- € ,- € ,,Err:508,,,,,
604,Toorts met rode kap ,Fluomateriaal,6,5,,- € ,- € ,- € ,- € ,,Err:508,,,,,
605,Fietslicht met velcrosluiting,Fluomateriaal,6,38,,- € ,- € ,- € ,- € ,,Err:508,,,,,
606,Seinplaat C4,Fluomateriaal,6,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
607,Geldkoffer (met euro vakken),Bureelmateriaal,11,6,,- € ,- € ,2.50 € ,- € ,,Err:508,,,,,
608,Geldkoffer,Bureelmateriaal,11,2,,- € ,- € ,- € ,- € ,,Err:508,,,,,
609,Geldkoffer (oud),Bureelmateriaal,11,7,,- € ,- € ,- € ,- € ,,Err:508,,,,,
610,Administratieve koffer ,Bureelmateriaal,11,3,enkel voor jeugdraadwerkgroepen,- € ,- € ,- € ,- € ,,Err:508,,,,,
